1.,0.
"Around[0.5329999999999999, 0.30949951494104755]","Around[0.467, 0.30949951494104755]"
"Around[0.4860000000000001, 0.31094603580996116]","Around[0.514, 0.31094603580996116]"
"Around[0.48300000000000004, 0.2893607579496675]","Around[0.517, 0.2893607579496675]"
"Around[0.5260000000000001, 0.2886878998461625]","Around[0.47400000000000003, 0.2886878998461625]"
"Around[0.502, 0.28636695017189706]","Around[0.49800000000000005, 0.28636695017189706]"
"Around[0.49700000000000005, 0.29329354839075167]","Around[0.503, 0.29329354839075167]"
"Around[0.47900000000000004, 0.31312816262858856]","Around[0.521, 0.31312816262858856]"
"Around[0.4590000000000001, 0.3052620589315278]","Around[0.541, 0.3052620589315278]"
"Around[0.502, 0.3067023502653533]","Around[0.49800000000000005, 0.3067023502653533]"
"Around[0.514, 0.3076969075806148]","Around[0.486, 0.3076969075806148]"
"Around[0.4760000000000001, 0.3083820641467937]","Around[0.524, 0.3083820641467937]"
"Around[0.5110000000000001, 0.2992100151496089]","Around[0.48900000000000005, 0.2992100151496089]"
"Around[0.48800000000000004, 0.3044989293740616]","Around[0.512, 0.3044989293740616]"
"Around[0.48, 0.31511344371838584]","Around[0.52, 0.31511344371838584]"
"Around[0.522, 0.28971654835711375]","Around[0.4780000000000001, 0.28971654835711375]"
"Around[0.556, 0.28366588032100626]","Around[0.44400000000000006, 0.28366588032100626]"
"Around[0.48900000000000005, 0.30585410520106104]","Around[0.5110000000000001, 0.30585410520106104]"
"Around[0.4660000000000001, 0.30082633264403613]","Around[0.534, 0.30082633264403613]"
"Around[0.47900000000000004, 0.2959678781973191]","Around[0.521, 0.2959678781973191]"
"Around[0.532, 0.2942941474547713]","Around[0.468, 0.2942941474547713]"
"Around[0.513, 0.3090445642841302]","Around[0.48700000000000004, 0.3090445642841301]"
"Around[0.519, 0.30014904170458534]","Around[0.48100000000000004, 0.30014904170458534]"
"Around[0.511, 0.29378657689523374]","Around[0.48900000000000005, 0.29378657689523374]"
"Around[0.49900000000000005, 0.30141875577285876]","Around[0.5010000000000001, 0.30141875577285876]"
"Around[0.513, 0.2984566667198904]","Around[0.48700000000000004, 0.2984566667198904]"
"Around[0.498, 0.30931274118486696]","Around[0.502, 0.30931274118486696]"
"Around[0.54, 0.2898622095108511]","Around[0.46, 0.2898622095108511]"
"Around[0.47700000000000004, 0.3136284650192832]","Around[0.523, 0.31362846501928326]"
"Around[0.504, 0.28914012182720555]","Around[0.496, 0.28914012182720555]"
"Around[0.48900000000000005, 0.28616156662112274]","Around[0.5110000000000001, 0.28616156662112274]"
"Around[0.486, 0.3024257041533727]","Around[0.514, 0.3024257041533727]"
"Around[0.508, 0.32007536800889597]","Around[0.49200000000000005, 0.32007536800889597]"
"Around[0.5209999999999999, 0.3111964268438859]","Around[0.47900000000000004, 0.3111964268438859]"
"Around[0.465, 0.3046952509966302]","Around[0.535, 0.3046952509966302]"
"Around[0.47700000000000004, 0.2930878750691724]","Around[0.523, 0.2930878750691724]"
"Around[0.496, 0.2993863069748183]","Around[0.504, 0.2993863069748183]"
